Company Logo URL,Financial - Assets (31 Dec 2024),Financial - Assets (31 Mar 2022),Financial - Assets (31 Mar 2023),Financial - Assets (31 Mar 2024),Financial - Assets (31 Mar 2025),Financial - EBITDA (31 Dec 2024),Financial - EBITDA (31 Mar 2022),Financial - EBITDA (31 Mar 2023),Financial - EBITDA (31 Mar 2024),Financial - EBITDA (31 Mar 2025),Financial - Net Worth (31 Dec 2024),Financial - Net Worth (31 Mar 2022),Financial - Net Worth (31 Mar 2023),Financial - Net Worth (31 Mar 2024),Financial - Net Worth (31 Mar 2025),Financial - Profit After Tax (31 Dec 2024),Financial - Profit After Tax (31 Mar 2022),Financial - Profit After Tax (31 Mar 2023),Financial - Profit After Tax (31 Mar 2024),Financial - Profit After Tax (31 Mar 2025),Financial - Reserves and Surplus (31 Dec 2024),Financial - Reserves and Surplus (31 Mar 2022),Financial - Reserves and Surplus (31 Mar 2023),Financial - Reserves and Surplus (31 Mar 2024),Financial - Reserves and Surplus (31 Mar 2025),Financial - Revenue (31 Dec 2024),Financial - Revenue (31 Mar 2022),Financial - Revenue (31 Mar 2023),Financial - Revenue (31 Mar 2024),Financial - Revenue (31 Mar 2025),Financial - Total Borrowing (31 Dec 2024),Financial - Total Borrowing (31 Mar 2022),Financial - Total Borrowing (31 Mar 2023),Financial - Total Borrowing (31 Mar 2024),Financial - Total Borrowing (31 Mar 2025),IPO Name,IPO Overview,Latest GMP Update,class_ipo_status,company_short_name,id,ipo_category,ipo_status,issue_end_dt,issue_open_dt,issue_size,listing_at,orderdate,orderdate_dateformat,urlrewrite_folder_name,urlrewrite_folder_name_main
https://www.chittorgarh.net/images/ipo/indogulf-cropsciences-ipo-logo.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,"Indogulf Cropsciences IPO, a Mainline IPO of₹200.00 Cropens for subscription fromJune 26, 2025 to June 30, 2025. The IPO consists of ₹160.00 Cr fresh issue and ₹40.00 Cr offer for sale. The face value of each share is 10, and the price band is set between105.00-111.00 per share. Retail investors can apply to the Indogulf Cropsciences Mainline IPO with a minimum application of 2 lots, each comprising135 shares—amounting to a total investment of Rs14985. The tentative listing date on the exchange(BSE, NSE) is 03-07-2025. Stay tuned with us to get more details about Indogulf Cropsciences Mainline IPO including business overview, financial performance, live subscription status, allotment details, daily grey market premium (GMP), listing date, and listing price.","{""GMP Date"": ""25-06-2025"", ""IPO Price"": ""111.00"", ""GMP"": ""\u20b911"", ""Sub2 Sauda Rate"": ""1100/15400"", ""Estimated Listing Price"": ""\u20b9122 (9.91%)"", ""Estimated Profit*"": ""\u20b91485"", ""Last Updated"": ""25-Jun-2025 14:59""}",color-lightyellow,Indogulf Cropsciences,1299,Mainline,Upcoming,30-06-2025,26-06-2025,&#8377;200.00 Cr,"BSE, NSE",30-06-2025,2025-06-30T00:00:00.000Z,indogulf-cropsciences-ipo,ipo
https://www.chittorgarh.net/images/ipo/hbd-financial-logo.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,"HDB Financial IPO, a Mainline IPO of₹12500.00 Cropens for subscription fromJune 25, 2025 to June 27, 2025. The IPO consists of ₹2500.00 Cr fresh issue and ₹10000.00 Cr offer for sale. The face value of each share is 10, and the price band is set between700.00-740.00 per share. Retail investors can apply to the HDB Financial Mainline IPO with a minimum application of 2 lots, each comprising20 shares—amounting to a total investment of Rs14800. The tentative listing date on the exchange(BSE, NSE) is 02-07-2025. Stay tuned with us to get more details about HDB Financial Mainline IPO including business overview, financial performance, live subscription status, allotment details, daily grey market premium (GMP), listing date, and listing price.","{""GMP Date"": ""25-06-2025"", ""IPO Price"": ""740.00"", ""GMP"": ""\u20b960"", ""Sub2 Sauda Rate"": ""900/12600"", ""Estimated Listing Price"": ""\u20b9800 (8.11%)"", ""Estimated Profit*"": ""\u20b91200"", ""Last Updated"": ""25-Jun-2025 15:02""}",color-honeydew,HDB Financial,1276,Mainline,Open,27-06-2025,25-06-2025,&#8377;12500.00 Cr,"BSE, NSE",27-06-2025,2025-06-27T00:00:00.000Z,hdb-financial,ipo
https://www.chittorgarh.net/images/ipo/sambhv-steel-logo.jpeg .jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,"Sambhv Steel Tubes IPO, a Mainline IPO of₹540.00 Cropens for subscription fromJune 25, 2025 to June 27, 2025. The IPO consists of ₹440.00 Cr fresh issue and ₹100.00 Cr offer for sale. The face value of each share is 10, and the price band is set between77.00-82.00 per share. Retail investors can apply to the Sambhv Steel Tubes Mainline IPO with a minimum application of 2 lots, each comprising182 shares—amounting to a total investment of Rs14924. The tentative listing date on the exchange(BSE, NSE) is 02-07-2025. Stay tuned with us to get more details about Sambhv Steel Tubes Mainline IPO including business overview, financial performance, live subscription status, allotment details, daily grey market premium (GMP), listing date, and listing price.","{""GMP Date"": ""25-06-2025"", ""IPO Price"": ""82.00"", ""GMP"": ""\u20b910"", ""Sub2 Sauda Rate"": ""1400/19600"", ""Estimated Listing Price"": ""\u20b992 (12.20%)"", ""Estimated Profit*"": ""\u20b91820"", ""Last Updated"": ""25-Jun-2025 15:00""}",color-honeydew,Sambhv Steel Tubes,1279,Mainline,Open,27-06-2025,25-06-2025,&#8377;540.00 Cr,"BSE, NSE",27-06-2025,2025-06-27T00:00:00.000Z,sambhv-steel-tubes-ipo,ipo
https://www.chittorgarh.net/images/ipo/kalpataru-logo.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,"Kalpataru IPO, a Mainline IPO of₹1590.00 Cropens for subscription fromJune 24, 2025 to June 26, 2025. The IPO consists of ₹1590.00 Cr fresh issue. The face value of each share is 10, and the price band is set between387.00-414.00 per share. Retail investors can apply to the Kalpataru Mainline IPO with a minimum application of 2 lots, each comprising36 shares—amounting to a total investment of Rs14904. The tentative listing date on the exchange(BSE, NSE) is 01-07-2025. Stay tuned with us to get more details about Kalpataru Mainline IPO including business overview, financial performance, live subscription status, allotment details, daily grey market premium (GMP), listing date, and listing price.","{""GMP Date"": ""25-06-2025"", ""IPO Price"": ""414.00"", ""GMP"": ""\u20b99"", ""Sub2 Sauda Rate"": ""200/2800"", ""Estimated Listing Price"": ""\u20b9423 (2.17%)"", ""Estimated Profit*"": ""\u20b9324"", ""Last Updated"": ""25-Jun-2025 14:58""}",color-honeydew,Kalpataru,1277,Mainline,Open,26-06-2025,24-06-2025,&#8377;1590.00 Cr,"BSE, NSE",26-06-2025,2025-06-26T00:00:00.000Z,kalpataru-ipo,ipo
https://www.chittorgarh.net/images/ipo/ellenbarrie-industrial-logo.png,,,551.27,672.54,845.97,,,33.59,61.53,109.74,,,203.32,250.15,333.62,,,28.14,45.29,83.29,,,356.51,403.35,467.17,,,223.71,290.20,348.43,,,101.10,176.90,245.30,N/A,"Ellenbarrie Industrial Gases IPO, a Mainline IPO of₹852.53 Cropens for subscription fromJune 24, 2025 to June 26, 2025. The IPO consists of ₹400.00 Cr fresh issue and ₹452.53 Cr offer for sale. The face value of each share is 2, and the price band is set between380.00-400.00 per share. Retail investors can apply to the Ellenbarrie Industrial Gases Mainline IPO with a minimum application of 2 lots, each comprising37 shares—amounting to a total investment of Rs14800. The tentative listing date on the exchange(BSE, NSE) is 01-07-2025. Stay tuned with us to get more details about Ellenbarrie Industrial Gases Mainline IPO including business overview, financial performance, live subscription status, allotment details, daily grey market premium (GMP), listing date, and listing price.","{""GMP Date"": ""25-06-2025"", ""IPO Price"": ""400.00"", ""GMP"": ""\u20b924"", ""Sub2 Sauda Rate"": ""700/9800"", ""Estimated Listing Price"": ""\u20b9424 (6.00%)"", ""Estimated Profit*"": ""\u20b9888"", ""Last Updated"": ""25-Jun-2025 14:59""}",color-honeydew,Ellenbarrie Industrial Gases,1278,Mainline,Open,26-06-2025,24-06-2025,&#8377;852.53 Cr,"BSE, NSE",26-06-2025,2025-06-26T00:00:00.000Z,ellenbarrie-industrial-gases-ipo,ipo
https://www.chittorgarh.net/images/ipo/globe-civil-logo.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,"Globe Civil Projects IPO, a Mainline IPO of₹119.00 Cropens for subscription fromJune 24, 2025 to June 26, 2025. The IPO consists of ₹119.00 Cr fresh issue. The face value of each share is 10, and the price band is set between67.00-71.00 per share. Retail investors can apply to the Globe Civil Projects Mainline IPO with a minimum application of 2 lots, each comprising211 shares—amounting to a total investment of Rs14981. The tentative listing date on the exchange(BSE, NSE) is 01-07-2025. Stay tuned with us to get more details about Globe Civil Projects Mainline IPO including business overview, financial performance, live subscription status, allotment details, daily grey market premium (GMP), listing date, and listing price.","{""GMP Date"": ""25-06-2025"", ""IPO Price"": ""71.00"", ""GMP"": ""\u20b912"", ""Sub2 Sauda Rate"": ""1900/26600"", ""Estimated Listing Price"": ""\u20b983 (16.90%)"", ""Estimated Profit*"": ""\u20b92532"", ""Last Updated"": ""25-Jun-2025 15:02""}",color-honeydew,Globe Civil Projects,1280,Mainline,Open,26-06-2025,24-06-2025,&#8377;119.00 Cr,"BSE, NSE",26-06-2025,2025-06-26T00:00:00.000Z,globe-civil-projects-ipo,ipo
https://www.chittorgarh.net/images/ipo/arisinfra_logo.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,"Arisinfra Solutions IPO, a Mainline IPO worth ₹499.60 Cr, was launched from June 18, 2025, to June 20, 2025, and got listed onBSE, NSE on June 25, 2025. The public issue of Arisinfra Solutions IPO (ARISINFRA,544419) was offered at₹222.00 per shareand was listed at₹205.00,resulting in a listing loss of -7.66%. With a minimum lot size of 67 shares, the IPO incurring a loss of ₹-1139 per lot on listing.","{""GMP Date"": ""25-06-2025"", ""IPO Price"": ""222.00"", ""GMP"": ""\u20b90"", ""Sub2 Sauda Rate"": ""--"", ""Estimated Listing Price"": ""\u20b9222 (0.00%)"", ""Estimated Profit*"": ""\u20b90"", ""Last Updated"": ""25-Jun-2025 5:55""}",,Arisinfra Solutions,1275,Mainline,Listed,20-06-2025,18-06-2025,&#8377;499.60 Cr,"BSE, NSE",20-06-2025,2025-06-20T00:00:00.000Z,arisinfra-solutions-ipo,ipo
https://www.chittorgarh.net/images/ipo/silky_overseas-logo.jpg,,37.07,40.70,50.69,,,2.97,5.35,11.01,,,3.59,4.61,15.14,,,-0.42,0.98,5.53,,,-0.26,0.75,10.68,,,50.17,68.35,70.26,,,31.00,28.80,25.72,,N/A,"Silky Overseas IPO, a SME IPO of₹30.68 Cropens for subscription fromJune 30, 2025 to July 2, 2025. The IPO consists of ₹30.68 Cr fresh issue. The face value of each share is 10, and the price band is set between153.00-161.00 per share. Retail investors can apply to the Silky Overseas SME IPO with a minimum application of 2 lots, each comprising800 shares—amounting to a total investment of Rs128800. The tentative listing date on the exchange(NSE SME) is 07-07-2025. Stay tuned with us to get more details about Silky Overseas SME IPO including business overview, financial performance, live subscription status, allotment details, daily grey market premium (GMP), listing date, and listing price.","{""GMP Date"": ""25-06-2025"", ""IPO Price"": ""161.00"", ""GMP"": ""\u20b90"", ""Sub2 Sauda Rate"": ""--"", ""Estimated Listing Price"": ""\u20b9161 (0.00%)"", ""Estimated Profit*"": ""\u20b90"", ""Last Updated"": ""25-Jun-2025 13:30""}",color-lightyellow,Silky Overseas,1307,SME,Upcoming,02-07-2025,30-06-2025,&#8377;30.68 Cr,NSE SME,02-07-2025,2025-07-02T00:00:00.000Z,silky-overseas-sme-ipo,ipo
https://www.chittorgarh.net/images/ipo/vandan-foods-ipo-logo.jpg,31.69,4.20,4.74,12.12,,6.92,-0.08,0.99,3.65,,14.01,-0.05,2.18,9.47,,4.54,-0.11,0.64,2.64,,8.26,-0.06,2.04,6.60,,72.66,1.61,11.59,48.73,,13.89,3.45,0.39,,,N/A,"Vandan Foods IPO, a SME IPO of₹28.84 Cropens for subscription fromJune 30, 2025 to July 2, 2025. The IPO consists of ₹28.84 Cr fresh issue. The face value of each share is 10, and the price band is set between115.00 per share. Retail investors can apply to the Vandan Foods SME IPO with a minimum application of 2 lots, each comprising1200 shares—amounting to a total investment of Rs138000. The tentative listing date on the exchange(BSE SME) is 07-07-2025. Stay tuned with us to get more details about Vandan Foods SME IPO including business overview, financial performance, live subscription status, allotment details, daily grey market premium (GMP), listing date, and listing price.","{""GMP Date"": ""25-06-2025"", ""IPO Price"": ""115.00"", ""GMP"": ""\u20b90"", ""Sub2 Sauda Rate"": ""--"", ""Estimated Listing Price"": ""\u20b9115 (0.00%)"", ""Estimated Profit*"": ""\u20b90"", ""Last Updated"": ""25-Jun-2025 14:57""}",color-lightyellow,Vandan Foods,1306,SME,Upcoming,02-07-2025,30-06-2025,&#8377;28.84 Cr,BSE SME,02-07-2025,2025-07-02T00:00:00.000Z,vandan-foods-sme-ipo,ipo
https://www.chittorgarh.net/images/ipo/cedaar-textile-logo.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,"Cedaar Textile IPO IPO, a SME IPO of₹57.85 Cropens for subscription fromJune 30, 2025 to July 2, 2025. The IPO consists of ₹57.85 Cr fresh issue. The face value of each share is 10, and the price band is set between130.00-140.00 per share. Retail investors can apply to the Cedaar Textile IPO SME IPO with a minimum application of 2 lots, each comprising1000 shares—amounting to a total investment of Rs140000. The tentative listing date on the exchange(NSE SME) is 07-07-2025. Stay tuned with us to get more details about Cedaar Textile IPO SME IPO including business overview, financial performance, live subscription status, allotment details, daily grey market premium (GMP), listing date, and listing price.","{""GMP Date"": ""25-06-2025"", ""IPO Price"": ""140.00"", ""GMP"": ""\u20b90"", ""Sub2 Sauda Rate"": ""--"", ""Estimated Listing Price"": ""\u20b9140 (0.00%)"", ""Estimated Profit*"": ""\u20b90"", ""Last Updated"": ""25-Jun-2025 15:54""}",color-lightyellow,Cedaar Textile IPO,1304,SME,Upcoming,02-07-2025,30-06-2025,&#8377;57.85 Cr,NSE SME,02-07-2025,2025-07-02T00:00:00.000Z,cedaar-textile-sme-ipo,ipo
